Start,End,Colour
2000-10-30 06:00:00,2000-11-04 06:00:00,Red
2000-11-04 06:00:00,2000-11-04 14:30:00,Yellow
2000-11-05 06:00:00,2000-11-05 18:00:00,Yellow
2000-11-21 06:00:00,2000-11-22 18:00:00,Red
2000-11-26 00:00:00,2000-11-26 11:15:00,Yellow
2000-12-03 06:00:00,2000-12-04 06:00:00,Yellow
2000-12-10 06:00:00,2000-12-11 06:00:00,Yellow
2000-12-17 06:00:00,2000-12-17 18:00:00,Yellow
2000-12-21 06:00:00,2000-12-22 18:00:00,Red
2000-12-22 18:00:00,2000-12-26 18:00:00,Yellow
2000-12-30 06:00:00,2000-12-31 06:00:00,Yellow
2000-12-31 06:00:00,2001-01-01 18:35:00,Red
2001-01-07 11:30:00,2001-01-07 18:00:00,Yellow
2001-01-13 18:00:00,2001-01-15 06:00:00,Yellow
2001-01-20 06:00:00,2001-01-21 18:00:00,Yellow
2001-02-11 06:00:00,2001-02-11 18:00:00,Yellow
2001-02-14 06:00:00,2001-02-16 06:00:00,Red
2001-02-17 06:00:00,2001-02-18 18:00:00,Yellow
2001-03-01 11:00:00,2001-03-02 06:00:00,Red
2001-03-04 06:00:00,2001-03-05 06:00:00,Red
2001-04-01 06:05:00,2001-04-01 18:00:00,Yellow
2001-04-12 10:45:00,2001-04-12 18:00:00,Red
2001-09-25 10:35:00,2001-09-26 18:00:00,Yellow
2001-09-29 00:00:00,2001-10-03 06:00:00,Yellow
2001-10-07 06:00:00,2001-10-07 18:00:00,Yellow
2001-10-13 06:00:00,2001-10-15 06:00:00,Yellow
2001-10-16 13:10:00,2001-10-18 06:00:00,Red
2001-10-20 06:00:00,2001-10-22 06:00:00,Yellow
2001-10-25 00:00:00,2001-10-26 06:00:00,Yellow
2001-10-28 06:00:00,2001-10-29 06:00:00,Yellow
2001-11-06 06:00:00,2001-11-07 18:00:00,Red
2001-11-09 06:00:00,2001-11-12 18:00:00,Red
2001-11-14 11:30:00,2001-11-14 18:00:00,Red
2001-11-15 11:30:00,2001-11-23 06:00:00,Red
2001-11-23 12:00:00,2001-11-24 06:00:00,Red
2001-11-24 06:00:00,2001-11-25 18:00:00,Yellow
2001-11-25 18:00:00,2001-11-26 17:30:00,Red
2001-12-02 06:00:00,2001-12-02 18:00:00,Yellow
2001-12-15 11:45:00,2001-12-16 18:00:00,Yellow
2001-12-21 18:00:00,2001-12-26 06:00:00,Red
2001-12-26 06:00:00,2001-12-28 11:30:00,Yellow
2001-12-28 11:30:00,2001-12-30 18:00:00,Red
2001-12-30 18:00:00,2002-01-01 12:00:00,Yellow
2002-01-01 12:00:00,2002-01-04 06:00:00,Red
2002-01-04 06:00:00,2002-01-05 06:00:00,Yellow
2002-01-05 06:00:00,2002-01-07 06:00:00,Red
2002-01-07 06:00:00,2002-01-09 06:00:00,Yellow
2002-01-21 06:00:00,2002-01-21 11:30:00,Yellow
2002-01-21 11:30:00,2002-01-23 06:00:00,Red
2002-01-23 06:00:00,2002-01-23 18:00:00,Yellow
2002-02-03 00:00:00,2002-02-03 18:00:00,Yellow
2002-02-10 06:00:00,2002-02-14 18:00:00,Yellow
2002-02-17 06:00:00,2002-02-18 06:00:00,Yellow
2002-02-24 08:30:00,2002-02-24 18:00:00,Yellow
2002-03-06 06:00:00,2002-03-08 06:00:00,Red
2002-03-08 12:30:00,2002-03-09 06:00:00,Red
2002-03-09 06:00:00,2002-03-10 18:00:00,Yellow
2002-04-05 06:00:00,2002-04-06 06:00:00,Yellow
2002-09-20 12:00:00,2002-09-22 01:40:00,Yellow
2002-10-06 15:00:00,2002-10-07 06:00:00,Yellow
