Date,Mean Pressure,Absolute Daily Max Air Temp.,Mean Air Temp.,Absolute Daily Min Air Temp.,Mean Dew Point,Mean Relative Humidity,Mean Amount of Cloud,Total Rainfall,Total Bright Sunshine
2000-11-01,1013.3,23.3,20.7,18.6,9.0,47.0,27.0,0.0,10.2
2000-11-02,1017.3,23.7,19.9,16.9,9.1,50.0,10.0,0.0,10.1
2000-11-03,1016.8,23.9,21.5,18.6,12.6,57.0,33.0,0.0,7.9
2000-11-04,1015.6,23.3,22.2,20.9,13.4,58.0,85.0,0.02,0.0
2000-11-05,1011.7,25.8,23.5,21.4,17.0,67.0,74.0,0.0,2.9
2000-11-06,1009.9,25.0,23.7,22.8,19.2,76.0,88.0,0.1,0.0
2000-11-07,1010.3,24.1,23.2,22.2,21.3,89.0,95.0,23.5,0.0
2000-11-08,1011.6,24.8,24.0,23.3,22.3,90.0,91.0,3.1,0.3
2000-11-09,1013.7,23.9,23.0,22.1,19.7,82.0,89.0,0.02,1.4
2000-11-10,1017.8,25.7,23.7,22.2,19.6,78.0,74.0,0.4,7.8
2000-11-11,1018.9,23.6,21.0,17.2,17.6,81.0,90.0,13.7,0.1
2000-11-12,1019.4,17.5,15.7,14.9,14.2,91.0,92.0,44.1,0.0
2000-11-13,1017.8,20.6,18.1,15.1,14.4,79.0,73.0,0.02,2.2
2000-11-14,1016.1,24.3,22.1,19.5,17.2,74.0,45.0,0.0,8.7
2000-11-15,1016.3,26.5,24.1,22.0,19.3,75.0,74.0,0.0,7.1
2000-11-16,1017.6,23.2,21.2,19.3,17.6,80.0,88.0,9.6,2.4
2000-11-17,1018.8,20.7,19.5,18.5,14.3,72.0,88.0,0.02,0.0
2000-11-18,1018.4,21.2,19.9,18.3,15.6,76.0,88.0,0.02,0.9
2000-11-19,1016.2,22.5,21.3,19.9,17.3,78.0,88.0,0.02,0.2
2000-11-20,1018.3,21.5,17.7,14.7,11.1,66.0,85.0,0.02,4.5
2000-11-21,1020.5,17.7,15.8,14.1,7.1,56.0,70.0,0.0,0.4
2000-11-22,1020.4,19.9,17.6,14.7,10.7,64.0,7.0,0.0,10.1
2000-11-23,1019.5,21.6,19.7,17.6,15.0,75.0,33.0,0.0,9.9
2000-11-24,1017.2,22.1,21.0,19.9,17.1,78.0,82.0,0.0,1.7
2000-11-25,1016.3,23.6,21.7,20.5,18.1,80.0,46.0,0.0,7.0
2000-11-26,1017.1,24.3,22.3,20.5,18.9,81.0,69.0,2.3,2.5
2000-11-27,1018.0,24.3,22.5,21.4,19.6,84.0,67.0,0.0,5.3
2000-11-28,1018.5,22.4,21.4,20.5,17.9,80.0,88.0,0.0,0.7
2000-11-29,1018.4,22.2,21.0,19.9,16.8,77.0,69.0,0.0,5.9
2000-11-30,1016.6,22.9,21.3,19.7,17.8,80.0,36.0,0.0,9.4
2000-12-01,1015.8,25.4,22.4,20.2,18.3,78.0,56.0,0.0,7.5
2000-12-02,1018.0,22.9,21.3,19.4,17.8,80.0,56.0,0.5,6.4
2000-12-03,1018.9,21.0,18.6,17.2,12.2,66.0,41.0,0.0,4.2
2000-12-04,1017.6,19.7,18.1,16.3,12.6,70.0,69.0,0.0,0.0
2000-12-05,1017.6,21.8,19.6,17.7,14.7,74.0,44.0,0.0,9.5
2000-12-06,1018.1,21.5,20.1,18.8,16.3,79.0,49.0,0.0,8.6
2000-12-07,1018.0,22.4,20.8,19.5,17.1,80.0,61.0,0.0,7.5
2000-12-08,1017.0,21.6,20.5,19.4,16.8,79.0,51.0,0.0,8.7
2000-12-09,1015.7,21.6,20.2,19.1,15.9,77.0,38.0,0.0,8.9
2000-12-10,1016.9,24.2,21.6,19.7,16.0,71.0,63.0,0.0,6.5
2000-12-11,1019.5,21.6,20.5,17.8,17.0,81.0,89.0,1.7,0.2
2000-12-12,1019.8,17.9,16.2,13.9,15.3,94.0,96.0,25.8,0.0
2000-12-13,1018.4,14.2,12.7,11.3,11.5,92.0,95.0,24.8,0.0
2000-12-14,1019.7,18.6,15.8,13.1,11.5,76.0,58.0,0.0,7.0
2000-12-15,1020.2,20.0,18.2,16.3,13.7,75.0,85.0,0.02,1.1
2000-12-16,1019.9,22.6,20.2,18.6,16.1,77.0,70.0,0.0,4.9
2000-12-17,1018.4,23.9,21.3,19.7,16.8,76.0,77.0,0.0,5.1
2000-12-18,1016.0,22.9,20.9,19.8,18.2,85.0,88.0,0.02,0.7
2000-12-19,1016.2,22.1,20.7,19.5,18.4,87.0,88.0,2.4,0.0
2000-12-20,1017.6,23.1,20.3,17.3,17.9,86.0,88.0,0.6,0.5
2000-12-21,1019.8,17.9,15.9,13.9,9.8,67.0,77.0,0.0,2.4
2000-12-22,1018.9,17.3,14.8,12.6,9.7,72.0,49.0,0.0,3.1
2000-12-23,1018.9,19.5,16.3,12.9,9.0,63.0,4.0,0.0,9.6
2000-12-24,1019.7,20.0,17.5,15.2,10.6,64.0,2.0,0.0,9.8
2000-12-25,1020.9,20.5,18.4,16.4,13.2,73.0,13.0,0.0,9.6
2000-12-26,1021.8,20.6,18.6,16.6,13.5,73.0,69.0,0.0,5.0
2000-12-27,1020.4,20.6,19.2,18.0,14.3,73.0,87.0,0.2,1.5
2000-12-28,1019.0,22.6,20.1,18.5,15.0,73.0,32.0,0.0,8.8
2000-12-29,1017.7,20.6,18.7,17.2,14.9,79.0,17.0,0.0,8.6
2000-12-30,1016.2,21.6,18.1,16.2,11.7,67.0,5.0,0.0,8.9
2000-12-31,1016.9,19.3,16.7,14.4,8.1,57.0,0.0,0.0,9.3
2001-01-01,1017.9,17.9,16.4,15.1,10.7,69.0,41.0,0.0,5.3
2001-01-02,1016.7,19.8,17.9,16.0,14.0,78.0,61.0,0.0,2.1
2001-01-03,1017.6,19.8,18.3,17.1,15.1,82.0,35.0,0.0,9.6
2001-01-04,1019.6,19.4,18.4,17.7,15.0,80.0,86.0,0.02,0.9
2001-01-05,1019.8,19.9,18.6,17.6,14.8,79.0,57.0,0.02,6.9
