Start,End,Colour
2001-03-25 13:25:00,2001-03-25 15:15:00,Amber
2001-04-09 17:35:00,2001-04-09 19:05:00,Amber
2001-05-09 15:35:00,2001-05-09 17:30:00,Amber
2001-05-18 09:20:00,2001-05-18 14:45:00,Amber
2001-05-21 17:35:00,2001-05-21 21:00:00,Amber
2001-05-30 16:05:00,2001-05-30 19:30:00,Amber
2001-06-05 18:05:00,2001-06-06 11:30:00,Amber
2001-06-07 05:00:00,2001-06-07 22:05:00,Amber
2001-06-08 04:25:00,2001-06-08 08:20:00,Amber
2001-06-08 08:20:00,2001-06-08 14:15:00,Red
2001-06-08 14:15:00,2001-06-08 16:30:00,Amber
2001-06-09 04:15:00,2001-06-09 09:30:00,Amber
2001-06-09 09:30:00,2001-06-09 13:30:00,Red
2001-06-09 13:30:00,2001-06-09 15:30:00,Amber
2001-06-10 08:20:00,2001-06-10 13:30:00,Amber
2001-06-11 07:20:00,2001-06-11 10:35:00,Amber
2001-06-11 10:35:00,2001-06-11 13:30:00,Red
2001-06-11 13:30:00,2001-06-11 15:15:00,Amber
2001-06-12 02:35:00,2001-06-12 04:35:00,Amber
2001-06-12 04:35:00,2001-06-12 06:15:00,Red
2001-06-12 06:15:00,2001-06-12 15:00:00,Amber
2001-06-13 05:35:00,2001-06-13 10:30:00,Amber
2001-06-23 20:35:00,2001-06-24 06:30:00,Amber
2001-06-25 18:05:00,2001-06-25 23:00:00,Amber
2001-06-26 15:00:00,2001-06-26 18:15:00,Amber
2001-06-27 08:45:00,2001-06-27 14:35:00,Amber
2001-06-27 14:35:00,2001-06-27 19:55:00,Red
2001-06-27 19:55:00,2001-06-27 22:05:00,Amber
2001-07-06 12:30:00,2001-07-07 00:30:00,Amber
2001-07-13 01:30:00,2001-07-13 04:15:00,Amber
2001-07-15 14:45:00,2001-07-15 20:00:00,Amber
2001-07-17 13:40:00,2001-07-17 18:00:00,Amber
2001-07-18 06:10:00,2001-07-18 08:45:00,Amber
2001-07-21 03:15:00,2001-07-21 06:25:00,Amber
2001-08-01 15:30:00,2001-08-01 17:00:00,Amber
2001-08-02 18:45:00,2001-08-02 19:45:00,Amber
2001-08-02 19:45:00,2001-08-02 21:45:00,Red
2001-08-12 22:10:00,2001-08-12 23:45:00,Amber
2001-08-27 22:15:00,2001-08-28 00:05:00,Amber
2001-08-30 12:55:00,2001-08-30 17:20:00,Amber
2001-09-01 05:20:00,2001-09-01 10:00:00,Amber
2001-09-01 17:30:00,2001-09-01 22:05:00,Amber
2001-09-01 22:05:00,2001-09-01 22:45:00,Red
2001-09-01 22:45:00,2001-09-02 03:15:00,Black
2001-09-03 02:40:00,2001-09-03 10:15:00,Amber
2001-09-03 10:15:00,2001-09-03 12:15:00,Red
2001-09-03 12:15:00,2001-09-03 14:40:00,Amber
2001-09-05 06:00:00,2001-09-05 12:00:00,Amber
2001-09-07 15:10:00,2001-09-07 15:45:00,Amber
2001-09-07 15:45:00,2001-09-07 20:30:00,Red
2002-03-23 06:00:00,2002-03-23 11:30:00,Amber
2002-05-10 06:45:00,2002-05-10 07:45:00,Amber
2002-05-11 04:20:00,2002-05-11 06:00:00,Amber
2002-05-20 20:40:00,2002-05-21 00:10:00,Amber
2002-05-22 21:50:00,2002-05-23 01:20:00,Amber
2002-06-11 06:25:00,2002-06-11 12:15:00,Amber
2002-07-17 02:20:00,2002-07-17 04:30:00,Amber
2002-07-17 06:55:00,2002-07-17 08:40:00,Amber
2002-07-29 12:55:00,2002-07-29 13:55:00,Amber
2002-08-06 06:10:00,2002-08-06 11:35:00,Amber
2002-08-09 07:20:00,2002-08-09 11:15:00,Amber
2002-08-09 14:35:00,2002-08-09 17:55:00,Amber
2002-08-10 04:35:00,2002-08-10 06:50:00,Amber
2002-08-10 11:30:00,2002-08-10 13:30:00,Amber
2002-09-14 21:10:00,2002-09-15 03:30:00,Amber
2002-09-15 03:30:00,2002-09-15 06:15:00,Red
2002-09-15 06:15:00,2002-09-15 09:55:00,Amber
2002-09-16 23:30:00,2002-09-17 04:30:00,Amber
2002-09-17 18:05:00,2002-09-17 21:00:00,Amber
2002-10-18 09:57:00,2002-10-18 10:35:00,Amber
2002-10-18 10:35:00,2002-10-18 13:20:00,Red
