age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
42.0,Private,20809.0,HS-grad,9.0,Divorced,Craft-repair,Not-in-family,White,Male,0.0,0.0,75.0,United-States,>50K
26.0,Private,31208.0,Masters,14.0,Never-married,Exec-managerial,Not-in-family,White,Female,0.0,0.0,40.0,United-States,<=50K
64.0,Self-emp-inc,165667.0,Doctorate,16.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,7688.0,0.0,60.0,Canada,>50K
30.0,Self-emp-not-inc,223212.0,Bachelors,13.0,Never-married,Sales,Unmarried,White,Male,0.0,0.0,40.0,United-States,<=50K
68.0,Self-emp-inc,52052.0,Assoc-voc,11.0,Widowed,Sales,Not-in-family,White,Female,25124.0,0.0,50.0,United-States,>50K
28.0,Private,232945.0,HS-grad,9.0,Separated,Handlers-cleaners,Not-in-family,Other,Male,0.0,0.0,30.0,United-States,<=50K
35.0,Private,37314.0,Some-college,10.0,Married-civ-spouse,Craft-repair,Husband,White,Male,5013.0,0.0,40.0,United-States,<=50K
25.0,Private,60726.0,HS-grad,9.0,Married-civ-spouse,Transport-moving,Husband,Black,Male,0.0,0.0,30.0,United-States,<=50K
55.0,Private,231738.0,HS-grad,9.0,Divorced,Sales,Not-in-family,White,Female,0.0,0.0,40.0,England,<=50K
33.0,Private,189265.0,Bachelors,13.0,Never-married,Exec-managerial,Not-in-family,White,Female,0.0,0.0,40.0,United-States,<=50K
33.0,Private,292465.0,9th,5.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,50.0,United-States,<=50K
39.0,Private,99527.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
39.0,Private,201410.0,HS-grad,9.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
32.0,Private,45796.0,12th,8.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
39.0,Private,56269.0,Some-college,10.0,Never-married,Craft-repair,Own-child,Black,Male,0.0,0.0,40.0,United-States,<=50K
45.0,,144354.0,9th,5.0,Separated,,Own-child,Black,Male,0.0,0.0,40.0,United-States,<=50K
18.0,Private,116167.0,HS-grad,9.0,Never-married,Other-service,Own-child,White,Female,0.0,0.0,16.0,United-States,<=50K
55.0,Private,98746.0,Some-college,10.0,Married-civ-spouse,Tech-support,Husband,White,Male,0.0,0.0,50.0,Canada,>50K
58.0,Self-emp-not-inc,127539.0,10th,6.0,Married-civ-spouse,Craft-repair,Husband,White,Male,2407.0,0.0,25.0,United-States,<=50K
47.0,Private,162741.0,Assoc-acdm,12.0,Married-civ-spouse,Prof-specialty,Wife,Black,Female,15024.0,0.0,40.0,United-States,>50K
57.0,Private,99364.0,9th,5.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,40.0,Puerto-Rico,<=50K
52.0,Private,187356.0,10th,6.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,41.0,United-States,<=50K
49.0,,95636.0,10th,6.0,Divorced,,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
46.0,,427055.0,Some-college,10.0,Divorced,,Not-in-family,White,Male,0.0,0.0,40.0,United-States,>50K
23.0,Private,188950.0,Assoc-voc,11.0,Never-married,Sales,Own-child,White,Male,0.0,0.0,40.0,United-States,<=50K
38.0,Private,85399.0,HS-grad,9.0,Never-married,Machine-op-inspct,Not-in-family,White,Female,0.0,0.0,40.0,United-States,<=50K
63.0,,203821.0,HS-grad,9.0,Married-civ-spouse,,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
35.0,Private,148581.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,1740.0,40.0,United-States,<=50K
44.0,Private,132849.0,Masters,14.0,Never-married,Craft-repair,Unmarried,Black,Female,0.0,0.0,40.0,United-States,<=50K
29.0,Local-gov,181434.0,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,7298.0,0.0,40.0,United-States,>50K
49.0,Self-emp-not-inc,122584.0,7th-8th,4.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
51.0,Self-emp-not-inc,24790.0,Some-college,10.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,99.0,United-States,>50K
26.0,Private,49092.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
44.0,Private,171424.0,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
